1;2;2
2;5;2
3;6;3
4;2;2
5;3;4
6;6;2
7;8;4
8;7;10
9;6;4
10;9;2
11;5;4
12;4;1
13;3;6
14;4;2
15;6;2
16;5;7
17;3;6
18;4;3
19;8;5
20;1;5
21;2;2
22;4;3
23;2;10
24;5;2
25;6;1
26;3;7
27;2;8
28;7;2
29;5;3
30;3;4
31;2;7
32;7;4
33;5;1
34;9;4
35;9;5
36;9;3
37;8;10
38;5;2
39;3;2
40;2;3
41;4;1
42;6;3
43;8;2
44;2;2
45;2;3
46;3;2
47;3;4
48;7;7
49;8;7
50;4;2
51;3;4
52;9;2
53;8;4
54;7;2
55;2;2
56;3;4
57;3;2
58;7;6
59;6;2
60;4;6
61;7;3
62;5;2
63;4;5
64;7;3
65;8;4
66;6;3
67;4;2
68;2;5
69;2;3
70;4;2
71;1;8
72;1;2
73;5;3
74;7;5
75;5;4
76;3;7
77;8;3
78;6;3
79;8;7
80;9;7
81;6;5
82;6;3
83;8;2
84;3;2
85;2;2
86;3;2
87;3;4
88;1;3
89;9;2
90;7;2
91;3;5
92;4;4
93;3;5
94;4;5
95;2;5
96;3;3
97;4;2
